log,PasswordNotMatch,ThisUserNotExist,TokenExpired,TimeoutError,LogicError,NetworkError,CredentialExpired,DatabaseError,PermissionError
Incorrect password entered,1.0,,,,,,,,
User is not registered in the system | SQL syntax error | Your login credentials have expired,,0.419,,,,,0.197,0.385,
Database query failed | Session token invalid,,,0.47,,,,,0.53,
"Session token invalid | Expired credentials, please update",,,0.678,,,,0.322,,
Infinite loop detected | Password mismatch error | Timeout occurred while fetching data,0.53,,,0.296,0.174,,,,
"Invalid username, user does not exist | You do not have permission to perform this action | Incorrect password entered",0.381,0.207,,,,,,,0.411
"Token has expired, please login again",,,1.0,,,,,,
You do not have permission to perform this action,,,,,,,,,1.0
Server response delayed | Incorrect password entered | User credentials expired,0.328,,,0.327,,,0.345,,
Database query failed | Token expired. Re-authentication required,,,0.507,,,,,0.493,
Timeout occurred while fetching data | User does not exist,,0.494,,0.506,,,,,
"Invalid username, user does not exist | Unexpected error occurred",,0.518,,,0.482,,,,
"Network connection failed | Server response delayed | Expired credentials, please update",,,,0.295,,0.382,0.323,,
User does not exist | Failed login attempt due to wrong password | Server response delayed,0.394,0.372,,0.234,,,,,
Credential expiration detected | Variable out of range,,,,,0.259,,0.741,,
Session token invalid | Variable out of range | SQL syntax error,,,0.311,,0.43,,,0.259,
User is not registered in the system | Unable to reach the server | Failed to connect to database,,0.472,,,,0.231,,0.297,
Password does not match,1.0,,,,,,,,
User credentials expired | You do not have permission to perform this action | Failed login attempt due to wrong password,0.307,,,,,,0.307,,0.386
Null pointer exception | You do not have permission to perform this action | User credentials expired,,,,,0.369,,0.393,,0.238
Password mismatch error,1.0,,,,,,,,
"Invalid username, user does not exist | Cannot establish a network connection | Operation took too long",,0.375,,0.34,,0.284,,,
Permission error,,,,,,,,,1.0
Unexpected error occurred | Password does not match,0.565,,,,0.435,,,,
"Variable out of range | User is not registered in the system | Expired credentials, please update",,0.268,,,0.468,,0.265,,
